Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Class
-1.241101757,-1.055179349,1.45664459,-3.348350845,0.806593248,2.962212469,2
2.030659562,-1.089118154,0.922421423,-0.310031757,-0.335715073,-2.598405846,1
0.921305855,3.200886365,0.403789155,1.984403426,0.000699118,0.106783286,0
-0.220882009,-1.511869647,0.701554113,-1.551464868,0.526937413,-1.205215205,1
1.98615587,0.381789278,2.499803771,0.025696939,0.527764761,0.45373085,1
-0.436359497,-0.317439254,0.18164415,1.264054399,-1.413024345,-0.149159423,0
1.469891445,-0.187794889,2.063805916,-0.166381374,-2.659351357,3.964097247,1
-3.57634543,0.363135999,2.394646744,2.110328992,-0.782543705,0.914216947,0
-1.271850397,1.353129134,0.858433191,-0.526097048,-1.434364967,0.208064784,2
-1.797510588,-1.85563767,0.051935958,-1.396449198,0.551863655,-1.196204228,1
0.217412278,-0.949659237,0.044760648,-0.100812261,-0.72831515,-3.112552796,2
0.065274916,-1.904062271,-0.418886892,1.788875536,-1.753469416,0.130115715,0
-0.401197886,-0.230774939,0.814398712,0.535316138,-0.361890971,-1.890607082,2
-3.861208468,0.596692237,1.053909242,1.030284118,-1.017192171,1.530962924,0
1.026004701,1.058201026,0.614623203,-1.508779081,1.388582269,2.539289254,1
-1.32016817,-1.60296871,1.684880764,0.643163866,-0.350681528,-1.542976129,2
2.513229818,-1.358175084,1.521993703,2.710823654,-2.169877687,-1.244997595,0
-5.146072669,-1.25446663,1.516987786,0.654067667,0.80443911,1.378016994,0
2.049214838,1.427839628,1.141111983,0.819933366,-0.157213893,0.628752753,0
-1.221288569,-0.581619857,1.144152516,-0.475414359,-0.883777789,1.67575901,2
-2.794483807,-2.721725363,3.424411468,-0.610936657,1.620533445,2.503219509,2
-0.868077577,-0.53384612,1.901444601,0.477690025,-0.704470103,-0.696859293,2
0.222832638,1.308911675,0.736466758,-1.775845409,-1.240640078,-0.810923973,1
-1.060905032,-0.169612528,-2.150638323,0.846241115,-1.669779172,0.919573725,0
0.642423829,0.180374594,2.51794774,-1.415219524,-1.326539016,-1.50417324,1
-0.068553071,1.140766261,1.276001188,-1.4561061,0.51029639,-0.675085021,2
-2.416953428,1.767057796,1.084540872,2.016923712,0.516669309,0.527331757,0
-0.293414196,-1.134482068,0.948008099,-0.054321566,0.672257284,-1.663537181,1
-0.538945603,-1.650397178,2.100299778,-0.454035985,1.34131192,1.032923341,2
-0.521737411,0.192778847,0.364216505,-1.008664171,0.234652005,-2.264215745,2
-0.763500859,-1.018237131,0.793720986,1.259875477,-0.15810149,1.94472734,2
2.09798217,-1.068022418,0.505895943,3.084904735,-1.007089364,-2.075609603,0
-0.95243105,-1.45096832,0.513297133,1.007270063,-0.622854503,-1.500572463,1
1.289430356,1.710523665,0.205843976,-1.087746354,0.155036624,0.712571514,1
-0.496488187,-1.928235776,-0.199443607,0.929103328,0.71759158,-1.480069524,1
-1.131976179,0.534593553,1.176698873,0.750716939,-1.319145045,1.535175985,0
0.682867674,-1.762721867,0.811361918,1.886633904,0.252755508,-0.426552287,0
-2.145985458,-3.461655682,2.782804156,-1.557707333,-2.369721409,4.583462579,2
-1.020926825,-0.886026018,0.742950143,-2.652626959,0.198558363,-0.194427749,2
-4.77202523,-1.712936632,-1.014853454,-2.745893771,-0.799110571,4.487370834,0
0.047659959,-0.920826219,1.033342522,-0.06266861,-1.053258721,-1.88800174,2
-1.772757892,-1.394690105,-4.073651819,1.132449418,0.756351569,1.753910889,0
0.060081316,-1.113597282,-1.04956415,0.809251101,-0.937355682,1.410345568,0
-1.923823991,-1.799013213,2.031623879,0.147853588,-0.089221176,-0.461557403,2
-2.698910877,0.18179181,1.339372691,-0.941159618,-0.030958251,2.371938016,1
0.303312758,-0.768159622,0.208920069,-0.841690424,0.098745778,-3.293834083,2
0.771714849,-3.124081235,-0.858939114,3.878072146,1.315766508,-1.827032775,0
-0.882778604,-2.009582789,1.367679076,-1.977846081,-0.348013086,0.611180086,2
0.203239641,0.089318268,-1.171885093,1.498995998,-1.241501231,-0.004044835,0
-2.35083035,0.72456704,1.209124371,1.062949963,-0.164535658,1.951709111,0
-2.597244792,-3.11774126,2.208440026,0.461468598,0.58102201,2.967712732,2
-0.834537566,-2.251738733,1.195062021,0.147300663,0.813863908,-1.881469343,2
-1.769375077,0.65427055,0.842837374,0.91898833,-0.677566213,0.93015417,0
-0.069206491,-0.354455935,0.831867989,0.128215352,2.155239538,0.289255591,1
1.851538245,-0.558369507,0.703075747,0.604528841,-1.629592986,-1.412666452,1
-1.218504175,-2.195067238,-1.493861206,2.382952727,1.646397243,-0.178688889,0
-1.220975478,-0.692664998,-0.471240765,1.440544875,1.246694737,-0.089883844,0
-2.553357401,-1.421101393,2.147738421,0.644254001,-0.229216052,-0.592790066,2
1.299221932,-0.317321049,3.130108686,-0.973808263,-2.078376655,-0.284517066,1
-1.289279054,0.381840078,1.817749836,0.970354773,0.485315997,-1.182628809,2
-2.504316965,-0.250903018,-2.815385514,-0.016361786,-1.753107047,2.13069834,0
-1.143913764,1.270583438,0.650726982,-2.647378794,0.674280469,-2.262149114,1
-0.217277345,-1.096766959,-0.443830534,0.636957004,-0.544922235,1.811209212,0
1.60442339,1.340221233,0.21814062,0.728670266,-0.254821268,3.572888282,1
-0.930014789,0.162935654,0.300321453,-0.576955692,0.158255981,2.232421484,0
-2.663420952,-0.43803231,3.707828656,1.385774377,0.500477519,1.128187697,2
-1.416631073,2.3445394,1.213189638,2.567283005,-0.006653455,-0.380327492,0
